datetime,prefecture,idt_offices,idt_employees,idt_salaries,idt_costs,idt_sales
2000-01-01,北海道,12116,225110,807016000000,3285615000000,5977142000000
2000-01-01,青森県,3636,77198,220494000000,820629000000,1388952000000
2000-01-01,岩手県,4648,114896,378414000000,1390877000000,2468908000000
2000-01-01,宮城県,6684,148235,544701000000,2159802000000,3889634000000
2000-01-01,秋田県,4881,96106,297983000000,1008121000000,1722609000000
2000-01-01,山形県,6857,134300,459722000000,1748781000000,2990701000000
2000-01-01,福島県,9678,208479,786753000000,3004798000000,5743209000000
2000-01-01,茨城県,12720,295716,1347290000000,6195753000000,10784394000000
2000-01-01,栃木県,12641,227248,1017886000000,4215333000000,7720636000000
2000-01-01,群馬県,14726,251999,1079447000000,4746080000000,8097435000000
2000-01-01,埼玉県,33086,507323,2201729000000,8428865000000,14663393000000
2000-01-01,千葉県,12708,263454,1227662000000,6489966000000,11518786000000
2000-01-01,東京都,62127,622121,3171610000000,9785385000000,18387693000000
2000-01-01,神奈川県,22163,523527,2866658000000,12472619000000,21865291000000
2000-01-01,新潟県,16089,241969,852091000000,2440250000000,4739003000000
2000-01-01,富山県,6359,138911,581021000000,1752858000000,3484383000000
2000-01-01,石川県,10274,116973,446174000000,1406155000000,2554498000000
2000-01-01,福井県,7292,94078,363772000000,1077817000000,2013484000000
2000-01-01,山梨県,6193,89303,381517000000,1507316000000,2663183000000
2000-01-01,長野県,14435,251339,1079413000000,3966630000000,7094369000000
2000-01-01,岐阜県,20306,233222,882055000000,2878428000000,5183329000000
2000-01-01,静岡県,25717,482098,2193574000000,9424769000000,16781084000000
2000-01-01,愛知県,48914,866359,4295634000000,22044407000000,34604074000000
2000-01-01,三重県,9702,203766,945943000000,4895674000000,8143077000000
2000-01-01,滋賀県,6675,160505,778179000000,3476557000000,6424541000000
2000-01-01,京都府,18153,195947,837337000000,3087896000000,5971626000000
2000-01-01,大阪府,56862,687967,3148128000000,9682710000000,18368960000000
2000-01-01,兵庫県,22761,419569,1956469000000,7562682000000,14182837000000
2000-01-01,奈良県,6585,86623,360148000000,1410481000000,2455736000000
2000-01-01,和歌山県,5249,64342,257600000000,1156332000000,2289215000000
2000-01-01,鳥取県,2161,48467,166814000000,679434000000,1207468000000
2000-01-01,島根県,3084,54832,188451000000,748097000000,1238197000000
2000-01-01,岡山県,8641,171800,741194000000,3777562000000,6404536000000
2000-01-01,広島県,11993,234679,1068870000000,3975278000000,7278075000000
2000-01-01,山口県,4164,109327,508688000000,2671317000000,4860012000000
2000-01-01,徳島県,3741,61061,239111000000,731284000000,1520834000000
2000-01-01,香川県,5212,80841,304199000000,1229758000000,2170696000000
2000-01-01,愛媛県,6009,105108,401998000000,2034645000000,3489548000000
2000-01-01,高知県,2891,35557,115845000000,295962000000,654727000000
2000-01-01,福岡県,13303,262180,1113117000000,4070789000000,7426357000000
2000-01-01,佐賀県,3301,66020,245118000000,902681000000,1623798000000
2000-01-01,長崎県,4687,73284,271172000000,860237000000,1553858000000
2000-01-01,熊本県,4543,104514,379363000000,1610586000000,2834040000000
2000-01-01,大分県,3456,74493,287766000000,1666513000000,3099859000000
2000-01-01,宮崎県,3323,66869,222608000000,736379000000,1334254000000
2000-01-01,鹿児島県,6200,94651,310168000000,1045650000000,2058101000000
2000-01-01,沖縄県,2767,27673,81549000000,385652000000,655871000000
2001-01-01,北海道,8394,212762,759115000000,3130457000000,5608287000000
2001-01-01,青森県,2221,68358,207156000000,757467000000,1251843000000
2001-01-01,岩手県,3070,103154,357275000000,1313158000000,2263336000000
2001-01-01,宮城県,4174,136565,516693000000,2054207000000,3658847000000
2001-01-01,秋田県,2913,83390,272873000000,816315000000,1493271000000
2001-01-01,山形県,3844,119855,433365000000,1582337000000,2670806000000
2001-01-01,福島県,5870,191453,751378000000,2870026000000,5373391000000
2001-01-01,茨城県,7689,279231,1308384000000,5861913000000,10275321000000
2001-01-01,栃木県,6553,211166,1016906000000,4194552000000,7503218000000
2001-01-01,群馬県,7516,229181,1031725000000,4665579000000,7778619000000
2001-01-01,埼玉県,17483,456493,2049703000000,8215243000000,13939813000000
2001-01-01,千葉県,7630,244642,1162339000000,6433087000000,10885200000000
2001-01-01,東京都,27066,524586,2850223000000,8784712000000,16568630000000
2001-01-01,神奈川県,12600,478223,2706047000000,11620366000000,19910040000000
2001-01-01,新潟県,8279,217685,808541000000,2290132000000,4382361000000
2001-01-01,富山県,3938,131034,553064000000,1647501000000,3317581000000
2001-01-01,石川県,4752,104726,421591000000,1284106000000,2517010000000
2001-01-01,福井県,3751,84227,340660000000,937778000000,1777053000000
2001-01-01,山梨県,2849,79282,363371000000,1367352000000,2340618000000
2001-01-01,長野県,7565,228604,1024899000000,3658977000000,6517289000000
2001-01-01,岐阜県,9716,210255,839149000000,2770413000000,4959937000000
2001-01-01,静岡県,14630,455455,2126789000000,9254668000000,16186259000000
2001-01-01,愛知県,25994,812320,4173706000000,21866779000000,34536352000000
2001-01-01,三重県,5646,194423,932287000000,4685135000000,7659949000000
2001-01-01,滋賀県,3752,154669,755151000000,3250044000000,6062972000000
2001-01-01,京都府,7052,168596,795195000000,2736150000000,5211244000000
2001-01-01,大阪府,29638,614077,2916002000000,9059582000000,17278400000000
2001-01-01,兵庫県,13066,391229,1859575000000,7213390000000,13121288000000
2001-01-01,奈良県,3243,76211,328889000000,1219621000000,2147886000000
2001-01-01,和歌山県,2847,57418,237552000000,1070162000000,2243396000000
2001-01-01,鳥取県,1345,42272,158490000000,600047000000,1105831000000
2001-01-01,島根県,1920,49955,175492000000,625539000000,1065046000000
2001-01-01,岡山県,5085,163013,723405000000,3563361000000,6248229000000
2001-01-01,広島県,7065,216908,1021965000000,3752786000000,6797664000000
2001-01-01,山口県,2663,105552,488878000000,2714961000000,4876937000000
2001-01-01,徳島県,2129,55038,236985000000,666645000000,1451971000000
2001-01-01,香川県,2963,74431,287583000000,1193372000000,2122994000000
2001-01-01,愛媛県,3582,96104,381020000000,1902412000000,3286034000000
2001-01-01,高知県,1571,32125,107115000000,268162000000,573856000000
2001-01-01,福岡県,8061,245757,1070012000000,4112569000000,7357077000000
2001-01-01,佐賀県,1960,62142,237755000000,876440000000,1583347000000
2001-01-01,長崎県,2684,66220,255485000000,870468000000,1638916000000
2001-01-01,熊本県,2903,97576,370445000000,1529258000000,2627517000000
2001-01-01,大分県,2168,68948,275748000000,1611011000000,2847173000000
2001-01-01,宮崎県,1981,61462,205550000000,671103000000,1230394000000
2001-01-01,鹿児島県,2992,83854,291569000000,977930000000,1854735000000
2001-01-01,沖縄県,1454,25593,77796000000,372743000000,646418000000
2002-01-01,北海道,7798,198053,682218000000,3080911000000,5347551000000
2002-01-01,青森県,2051,64995,183444000000,733180000000,1193532000000
2002-01-01,岩手県,2855,98115,329966000000,1176499000000,2058255000000
2002-01-01,宮城県,3904,130784,478023000000,1969736000000,3436282000000
2002-01-01,秋田県,2688,77554,242609000000,707629000000,1335222000000
2002-01-01,山形県,3585,113266,389009000000,1663860000000,2717818000000
2002-01-01,福島県,5433,179644,702544000000,2693691000000,5155135000000
2002-01-01,茨城県,7125,264534,1286805000000,5532776000000,9960715000000
2002-01-01,栃木県,6030,203033,984270000000,4212509000000,7659208000000
2002-01-01,群馬県,7016,217547,953325000000,4218036000000,7229167000000
2002-01-01,埼玉県,16244,434760,1927901000000,7303873000000,12759874000000
2002-01-01,千葉県,7067,227752,1089379000000,6095228000000,10534916000000
2002-01-01,東京都,23051,425625,2136953000000,6444072000000,11749815000000
2002-01-01,神奈川県,11656,439712,2603088000000,10344021000000,17963706000000
2002-01-01,新潟県,7565,205336,738904000000,2133399000000,4206238000000
2002-01-01,富山県,3686,124534,511623000000,1562833000000,3225710000000
2002-01-01,石川県,4237,97137,376561000000,1215417000000,2333518000000
2002-01-01,福井県,3390,79077,307785000000,877689000000,1687094000000
2002-01-01,山梨県,2642,76534,335309000000,1222467000000,2115477000000
2002-01-01,長野県,7003,212545,932986000000,3060382000000,5331857000000
2002-01-01,岐阜県,9126,203589,802370000000,2610560000000,4717030000000
2002-01-01,静岡県,13730,437004,2033296000000,8986961000000,16185060000000
2002-01-01,愛知県,24216,792304,4006420000000,21747988000000,34524877000000
2002-01-01,三重県,5279,187696,893180000000,4554223000000,7664237000000
2002-01-01,滋賀県,3457,147831,717635000000,3055626000000,5793622000000
2002-01-01,京都府,6456,160131,720257000000,2266423000000,4620245000000
2002-01-01,大阪府,26902,561771,2601256000000,8064411000000,15797409000000
2002-01-01,兵庫県,12195,372873,1745724000000,6827129000000,12458804000000
2002-01-01,奈良県,2945,72916,304744000000,1022333000000,1992530000000
2002-01-01,和歌山県,2659,55276,216077000000,977550000000,2053518000000
2002-01-01,鳥取県,1252,40172,135729000000,614776000000,1025815000000
2002-01-01,島根県,1793,46325,156869000000,597817000000,1003399000000
2002-01-01,岡山県,4706,154606,671168000000,3642983000000,6289547000000
2002-01-01,広島県,6610,209116,933093000000,3751946000000,6556297000000
2002-01-01,山口県,2496,99938,472520000000,2756796000000,4951331000000
2002-01-01,徳島県,1940,51813,213688000000,636310000000,1392832000000
2002-01-01,香川県,2706,70317,267558000000,1132650000000,2053636000000
2002-01-01,愛媛県,3255,89744,351059000000,1799579000000,3100789000000
2002-01-01,高知県,1434,29388,95662000000,253721000000,543759000000
2002-01-01,福岡県,7511,227572,989203000000,3960231000000,6982022000000
2002-01-01,佐賀県,1819,58564,218686000000,783836000000,1397118000000
2002-01-01,長崎県,2564,62957,249730000000,835450000000,1493485000000
2002-01-01,熊本県,2706,93817,342647000000,1366270000000,2367414000000
2002-01-01,大分県,2038,65793,256744000000,1609074000000,2854180000000
2002-01-01,宮崎県,1891,59984,192443000000,674414000000,1210798000000
2002-01-01,鹿児島県,2761,77654,258655000000,955051000000,1759236000000
2002-01-01,沖縄県,1375,23901,69667000000,349827000000,571728000000
2003-01-01,北海道,7740,193985,661154000000,3037165000000,5320408000000
2003-01-01,青森県,2059,62795,182975000000,721218000000,1210826000000
2003-01-01,岩手県,2892,99126,332085000000,1253108000000,2164855000000
2003-01-01,宮城県,3897,129523,470208000000,2004871000000,3430038000000
2003-01-01,秋田県,2685,77302,229801000000,729523000000,1301400000000
2003-01-01,山形県,3576,113169,380862000000,1775517000000,2787789000000
2003-01-01,福島県,5474,179415,685200000000,2772119000000,5220419000000
2003-01-01,茨城県,7244,263614,1205837000000,5739631000000,10072152000000
2003-01-01,栃木県,6173,205498,935130000000,4255256000000,7704456000000
2003-01-01,群馬県,7251,215189,917781000000,4285849000000,7285550000000
2003-01-01,埼玉県,16629,429980,1829596000000,7691954000000,13069108000000
2003-01-01,千葉県,7032,222096,1017990000000,6458403000000,10888796000000
2003-01-01,東京都,23521,414015,1945622000000,6236436000000,11306063000000
2003-01-01,神奈川県,11824,432300,2333282000000,10795175000000,18752201000000
2003-01-01,新潟県,7576,203779,734798000000,2242618000000,4353066000000
2003-01-01,富山県,3747,125482,524901000000,1650487000000,3404809000000
2003-01-01,石川県,4238,96792,377073000000,1234949000000,2346909000000
2003-01-01,福井県,3367,78026,297837000000,939502000000,1747552000000
2003-01-01,山梨県,2751,75173,317400000000,1328047000000,2239228000000
2003-01-01,長野県,7165,212380,892337000000,3251078000000,5683312000000
2003-01-01,岐阜県,8706,200855,784778000000,2683857000000,4829568000000
2003-01-01,静岡県,13922,433906,2001800000000,9079317000000,15963846000000
2003-01-01,愛知県,24462,794670,4023447000000,22770493000000,35483657000000
2003-01-01,三重県,5356,185219,871087000000,4669792000000,7803865000000
2003-01-01,滋賀県,3591,144832,690904000000,3025212000000,5789706000000
2003-01-01,京都府,6469,158287,699249000000,2177307000000,4614717000000
2003-01-01,大阪府,27227,544686,2404471000000,8003654000000,15544946000000
2003-01-01,兵庫県,12276,364535,1674151000000,6923779000000,12345365000000
2003-01-01,奈良県,3053,71704,300922000000,1143195000000,2050608000000
2003-01-01,和歌山県,2669,54320,202996000000,926795000000,2001065000000
2003-01-01,鳥取県,1234,40100,132783000000,639417000000,1087764000000
2003-01-01,島根県,1808,45406,152575000000,616335000000,995378000000
2003-01-01,岡山県,4729,151730,659856000000,3894120000000,6402422000000
2003-01-01,広島県,6715,207894,927895000000,3915402000000,6973107000000
2003-01-01,山口県,2496,96775,456440000000,2973629000000,5122189000000
2003-01-01,徳島県,1989,51089,213137000000,683124000000,1565756000000
2003-01-01,香川県,2778,69257,261048000000,1182519000000,2074260000000
2003-01-01,愛媛県,3288,87851,337014000000,1909555000000,3201811000000
2003-01-01,高知県,1438,28638,89575000000,261479000000,540119000000
2003-01-01,福岡県,7484,222868,935278000000,4060988000000,7257990000000
2003-01-01,佐賀県,1846,58728,215908000000,821675000000,1463050000000
2003-01-01,長崎県,2543,61257,222528000000,798883000000,1303197000000
2003-01-01,熊本県,2739,95494,350862000000,1329828000000,2386722000000
2003-01-01,大分県,2039,66671,256003000000,1671945000000,3029917000000
2003-01-01,宮崎県,1893,59061,190241000000,703124000000,1224819000000
2003-01-01,鹿児島県,2858,77999,257408000000,964297000000,1788342000000
2003-01-01,沖縄県,1462,24679,67581000000,344153000000,601314000000
2004-01-01,北海道,7244,189892,636274000000,3053023000000,5262648000000
2004-01-01,青森県,1881,59919,180042000000,745696000000,1264566000000
2004-01-01,岩手県,2723,96242,322400000000,1489894000000,2412545000000
2004-01-01,宮城県,3626,125867,465585000000,2095358000000,3513591000000
2004-01-01,秋田県,2512,76533,234389000000,808299000000,1400805000000
2004-01-01,山形県,3414,113249,388080000000,1837036000000,2940137000000
2004-01-01,福島県,5166,180936,704276000000,2855233000000,5485297000000
2004-01-01,茨城県,6803,267025,1213951000000,6228440000000,10437338000000
2004-01-01,栃木県,5655,203200,958410000000,4583948000000,8041184000000
2004-01-01,群馬県,6668,213218,943187000000,4662907000000,7600404000000
2004-01-01,埼玉県,15355,421231,1814692000000,7934479000000,13568987000000
2004-01-01,千葉県,6505,217332,1009416000000,6659216000000,11257573000000
2004-01-01,東京都,21035,392609,1867524000000,5961006000000,11198997000000
2004-01-01,神奈川県,10966,421464,2291004000000,10745590000000,18565989000000
2004-01-01,新潟県,6899,197793,724086000000,2341155000000,4526494000000
2004-01-01,富山県,3498,123529,512835000000,1764768000000,3510096000000
2004-01-01,石川県,3891,96196,381129000000,1290501000000,2378450000000
2004-01-01,福井県,3106,76386,295484000000,987972000000,1813319000000
2004-01-01,山梨県,2493,75811,322955000000,1468905000000,2399669000000
2004-01-01,長野県,6610,209511,895879000000,3503609000000,6035010000000
2004-01-01,岐阜県,7903,199559,784229000000,2769534000000,4945260000000
2004-01-01,静岡県,12947,433061,1994562000000,9617849000000,16699764000000
2004-01-01,愛知県,22684,797321,4068150000000,23828351000000,36813584000000
2004-01-01,三重県,4901,190139,890019000000,5262784000000,8775095000000
2004-01-01,滋賀県,3337,142808,688600000000,3346919000000,6169395000000
2004-01-01,京都府,5985,156581,691785000000,2265661000000,4816044000000
2004-01-01,大阪府,24822,530407,2350196000000,8427591000000,15961123000000
2004-01-01,兵庫県,11300,359850,1649597000000,7390160000000,12945203000000
2004-01-01,奈良県,2767,71461,308191000000,1223157000000,2159664000000
2004-01-01,和歌山県,2473,53130,206671000000,1220320000000,2364304000000
2004-01-01,鳥取県,1158,39283,131171000000,618109000000,1112667000000
2004-01-01,島根県,1647,43558,151044000000,658152000000,1040096000000
2004-01-01,岡山県,4389,149048,651565000000,4108888000000,6683678000000
2004-01-01,広島県,6231,207206,934644000000,4332838000000,7415298000000
2004-01-01,山口県,2361,95676,459120000000,3295721000000,5529427000000
2004-01-01,徳島県,1784,50243,210091000000,755451000000,1644695000000
2004-01-01,香川県,2507,66835,251337000000,1236450000000,2133819000000
2004-01-01,愛媛県,2993,84381,329003000000,1974119000000,3300853000000
2004-01-01,高知県,1308,27119,87958000000,276987000000,548024000000
2004-01-01,福岡県,6966,217871,934910000000,4278937000000,7332325000000
2004-01-01,佐賀県,1728,59419,219365000000,869075000000,1515758000000
2004-01-01,長崎県,2404,59481,214475000000,776794000000,1269929000000
2004-01-01,熊本県,2542,94685,354267000000,1452042000000,2584836000000
2004-01-01,大分県,1919,66312,255276000000,1864435000000,3364944000000
2004-01-01,宮崎県,1783,58683,187748000000,754919000000,1327373000000
2004-01-01,鹿児島県,2671,77186,259416000000,1000739000000,1841248000000
2004-01-01,沖縄県,1346,24430,66222000000,306211000000,510759000000
2005-01-01,北海道,7248,188605,641542000000,3391803000000,5464682000000
2005-01-01,青森県,1881,58843,176279000000,706400000000,1205148000000
2005-01-01,岩手県,2766,97616,319414000000,1424195000000,2377009000000
2005-01-01,宮城県,3632,123882,452652000000,2133462000000,3570238000000
2005-01-01,秋田県,2492,76002,232755000000,809073000000,1402567000000
2005-01-01,山形県,3428,112472,389319000000,1765798000000,2869203000000
2005-01-01,福島県,5204,182399,711033000000,2972833000000,5568577000000
2005-01-01,茨城県,6888,267608,1222997000000,6633589000000,10798152000000
2005-01-01,栃木県,5863,207732,978845000000,5020851000000,8577569000000
2005-01-01,群馬県,6852,210883,904067000000,4752318000000,7739027000000
2005-01-01,埼玉県,15821,421442,1792462000000,8068058000000,13802092000000
2005-01-01,千葉県,6679,217810,1021021000000,7490085000000,12112737000000
2005-01-01,東京都,21296,382831,1830000000000,5796062000000,10808197000000
2005-01-01,神奈川県,11370,426482,2302664000000,11541226000000,19400192000000
2005-01-01,新潟県,7119,201728,740569000000,2443936000000,4637785000000
2005-01-01,富山県,3516,123890,521177000000,1873621000000,3589351000000
2005-01-01,石川県,4021,97453,382514000000,1397366000000,2491257000000
2005-01-01,福井県,3152,75209,288641000000,1015431000000,1852261000000
2005-01-01,山梨県,2607,76953,326401000000,1397268000000,2446860000000
2005-01-01,長野県,6796,211994,914447000000,3570087000000,6259934000000
2005-01-01,岐阜県,8087,200864,794751000000,2881796000000,5088016000000
2005-01-01,静岡県,13228,441562,2028111000000,10032918000000,17322744000000
2005-01-01,愛知県,23125,816755,4184547000000,25947270000000,39514017000000
2005-01-01,三重県,5019,193492,914732000000,5840204000000,9458095000000
2005-01-01,滋賀県,3442,147426,703601000000,3511389000000,6384228000000
2005-01-01,京都府,6122,157255,704270000000,2312627000000,4869525000000
2005-01-01,大阪府,25454,526216,2347754000000,9000252000000,16517990000000
2005-01-01,兵庫県,11537,360195,1647121000000,7900742000000,13477827000000
2005-01-01,奈良県,2804,70378,308169000000,1259357000000,2156489000000
2005-01-01,和歌山県,2497,52416,205134000000,1510928000000,2780266000000
2005-01-01,鳥取県,1178,40171,127960000000,612733000000,1068232000000
2005-01-01,島根県,1672,43594,151395000000,670733000000,1063635000000
2005-01-01,岡山県,4450,150174,661694000000,4596219000000,7295599000000
2005-01-01,広島県,6363,209183,966088000000,4543468000000,7786582000000
2005-01-01,山口県,2381,95397,450182000000,3710226000000,6024963000000
2005-01-01,徳島県,1819,50393,209899000000,794072000000,1605572000000
2005-01-01,香川県,2602,67616,255957000000,1362135000000,2159953000000
2005-01-01,愛媛県,3073,84532,333422000000,2179936000000,3435178000000
2005-01-01,高知県,1343,26620,86173000000,285998000000,546895000000
2005-01-01,福岡県,7053,219368,938289000000,4469662000000,7751547000000
2005-01-01,佐賀県,1756,60210,218172000000,891124000000,1561574000000
2005-01-01,長崎県,2467,59023,215648000000,851540000000,1492355000000
2005-01-01,熊本県,2631,96141,361488000000,1471525000000,2620777000000
2005-01-01,大分県,1971,68856,267033000000,2256948000000,3671743000000
2005-01-01,宮崎県,1797,58201,186590000000,765233000000,1288769000000
2005-01-01,鹿児島県,2811,76967,258163000000,1011769000000,1811335000000
2005-01-01,沖縄県,1403,24525,64351000000,321594000000,515057000000
2006-01-01,北海道,6813,182681,627680000000,3687722000000,5749592000000
2006-01-01,青森県,1743,60764,178186000000,747347000000,1623612000000
2006-01-01,岩手県,2668,101334,333296000000,1540673000000,2474696000000
2006-01-01,宮城県,3433,126006,463021000000,2332748000000,3818410000000
2006-01-01,秋田県,2346,76384,237404000000,854303000000,1585560000000
2006-01-01,山形県,3283,114949,399731000000,1817889000000,3021169000000
2006-01-01,福島県,4870,185391,732632000000,3253356000000,5914656000000
2006-01-01,茨城県,6566,274077,1261914000000,7266315000000,11491770000000
2006-01-01,栃木県,5436,209304,988779000000,5141871000000,8727911000000
2006-01-01,群馬県,6405,212420,904920000000,4721143000000,7776059000000
2006-01-01,埼玉県,14969,424662,1802900000000,8373271000000,14231621000000
2006-01-01,千葉県,6318,220172,1029519000000,8437561000000,12971199000000
2006-01-01,東京都,19038,367209,1757700000000,5631617000000,10359659000000
2006-01-01,神奈川県,10541,415112,2227624000000,12146135000000,20150220000000
2006-01-01,新潟県,6745,203364,755170000000,2615630000000,4828125000000
2006-01-01,富山県,3320,126030,534665000000,2108896000000,3725390000000
2006-01-01,石川県,3757,99917,397127000000,1528574000000,2655295000000
2006-01-01,福井県,2897,76585,298677000000,1163955000000,2018201000000
2006-01-01,山梨県,2410,79021,341312000000,1450893000000,2559442000000
2006-01-01,長野県,6371,215938,921530000000,3773826000000,6361970000000
2006-01-01,岐阜県,7543,204549,812683000000,3249134000000,5527988000000
2006-01-01,静岡県,12525,446948,2071135000000,10724539000000,18234667000000
2006-01-01,愛知県,21737,841662,4342766000000,29257546000000,43726333000000
2006-01-01,三重県,4651,200609,961202000000,6836374000000,10788479000000
2006-01-01,滋賀県,3248,154947,744146000000,3893117000000,6839952000000
2006-01-01,京都府,5782,157377,722104000000,2629390000000,5319301000000
2006-01-01,大阪府,23564,517935,2338614000000,9531549000000,16647826000000
2006-01-01,兵庫県,10795,363478,1680219000000,8562276000000,14454981000000
2006-01-01,奈良県,2576,70702,301235000000,1431867000000,2335355000000
2006-01-01,和歌山県,2259,50557,197288000000,1614990000000,2834238000000
2006-01-01,鳥取県,1118,40644,134635000000,625090000000,1137468000000
2006-01-01,島根県,1565,44936,155502000000,686371000000,1111713000000
2006-01-01,岡山県,4187,152085,671845000000,5326792000000,8297273000000
2006-01-01,広島県,6062,214274,1000441000000,5515992000000,8578639000000
2006-01-01,山口県,2236,94770,457538000000,4377851000000,6657044000000
2006-01-01,徳島県,1694,50209,209132000000,829285000000,1643219000000
2006-01-01,香川県,2455,68255,259253000000,1641477000000,2563513000000
2006-01-01,愛媛県,2808,82800,332156000000,2322722000000,3738212000000
2006-01-01,高知県,1236,26701,86895000000,296906000000,549795000000
2006-01-01,福岡県,6620,221693,952846000000,4886369000000,8159756000000
2006-01-01,佐賀県,1683,62553,231131000000,987893000000,1710090000000
2006-01-01,長崎県,2280,58324,217523000000,858810000000,1514787000000
2006-01-01,熊本県,2500,98646,372804000000,1660028000000,2833205000000
2006-01-01,大分県,1867,70479,272644000000,2556484000000,3891442000000
2006-01-01,宮崎県,1697,59049,191757000000,779568000000,1332060000000
2006-01-01,鹿児島県,2599,75473,259566000000,1016283000000,1834447000000
2006-01-01,沖縄県,1327,24467,65591000000,340903000000,528281000000
2007-01-01,北海道,6752,189875,639983000000,3692055000000,5739595000000
2007-01-01,青森県,1748,65475,194559000000,906129000000,1651106000000
2007-01-01,岩手県,2678,102805,341901000000,1672358000000,2633458000000
2007-01-01,宮城県,3458,128632,475327000000,2188558000000,3551616000000
2007-01-01,秋田県,2346,78143,245740000000,1021178000000,1661481000000
2007-01-01,山形県,3246,118382,411010000000,1927793000000,3206128000000
2007-01-01,福島県,4848,192594,754578000000,3554616000000,6180558000000
2007-01-01,茨城県,6625,290050,1312037000000,8365044000000,12744079000000
2007-01-01,栃木県,5418,218656,1019790000000,5733001000000,9245343000000
2007-01-01,群馬県,6278,214374,940289000000,5017635000000,8144542000000
2007-01-01,埼玉県,15135,440359,1876010000000,9350398000000,14947550000000
2007-01-01,千葉県,6546,231957,1085974000000,9613141000000,14318412000000
2007-01-01,東京都,18681,371206,1785816000000,6215880000000,10638260000000
2007-01-01,神奈川県,10823,435767,2341546000000,12578099000000,20201158000000
2007-01-01,新潟県,6599,203277,763062000000,2971180000000,5209244000000
2007-01-01,富山県,3305,128753,550704000000,2359238000000,3960084000000
2007-01-01,石川県,3668,102337,410093000000,1672031000000,2874275000000
2007-01-01,福井県,2859,78164,308801000000,1305071000000,2161224000000
2007-01-01,山梨県,2414,81476,354253000000,1636083000000,2751359000000
2007-01-01,長野県,6358,222000,964666000000,4344344000000,7033203000000
2007-01-01,岐阜県,7508,216652,863952000000,3563092000000,5878617000000
2007-01-01,静岡県,12427,457695,2142272000000,11712861000000,19410264000000
2007-01-01,愛知県,21768,876351,4553380000000,31731468000000,47482703000000
2007-01-01,三重県,4598,212181,1027271000000,7426111000000,11601777000000
2007-01-01,滋賀県,3259,162222,783648000000,4349512000000,7232429000000
2007-01-01,京都府,5747,161222,734739000000,2981010000000,6134039000000
2007-01-01,大阪府,23553,532460,2419201000000,10675046000000,17961504000000
2007-01-01,兵庫県,10871,383164,1767621000000,9920433000000,15784639000000
2007-01-01,奈良県,2583,71299,303289000000,1534416000000,2493839000000
2007-01-01,和歌山県,2145,52367,207865000000,2079323000000,3158950000000
2007-01-01,鳥取県,1110,40158,129687000000,681789000000,1140796000000
2007-01-01,島根県,1547,45444,162004000000,754955000000,1201501000000
2007-01-01,岡山県,4155,158271,710816000000,5344177000000,8253857000000
2007-01-01,広島県,6105,222498,1033500000000,6725719000000,10158571000000
2007-01-01,山口県,2275,100435,468208000000,4682758000000,6916399000000
2007-01-01,徳島県,1629,51517,214000000000,904185000000,1715751000000
2007-01-01,香川県,2415,70779,272240000000,1784306000000,2731773000000
2007-01-01,愛媛県,2750,83726,336549000000,3061691000000,4340584000000
2007-01-01,高知県,1214,27139,90159000000,363763000000,595499000000
2007-01-01,福岡県,6872,232619,998029000000,5305221000000,8621731000000
2007-01-01,佐賀県,1644,64324,244059000000,1158579000000,1963999000000
2007-01-01,長崎県,2256,60643,228611000000,1206411000000,1928210000000
2007-01-01,熊本県,2542,102262,393520000000,1740385000000,2956039000000
2007-01-01,大分県,1873,75857,294907000000,2933554000000,4251027000000
2007-01-01,宮崎県,1725,61115,198481000000,852189000000,1436734000000
